Time Created: 11/12/2020 7:16:22 PM
-----New Entry: 11/12/2020 7:16:22 PM-----

******************* Parameters *******************
predictVelocity: True
noiseDampening: False
MaxNoise: 0
chanceToLoseFrame: 0
velocityMaxDegreeChange: 1E-07




Test 1: Random flying with velocity

Entry,Acc,AvgDistance,Speed3D,Speed2D

20:,0.000,10.228,0,0
40:,0.000,10.227,0.5909909,0
60:,0.000,10.278,3.444969,0
80:,0.000,11.272,5.13438,0
100:,0.000,14.371,7.490325,0
120:,0.000,20.027,7.624538,0
140:,0.000,26.748,7.462463,0
160:,0.000,31.388,0.08116146,0
180:,0.000,31.246,2.469024,0
200:,0.000,29.171,5.061051,0
0:,0.000,19.496,5.061051,0
20:,0.000,24.658,7.298983,0
40:,0.000,18.401,7.196853,0
60:,0.000,12.332,7.270537,0
80:,0.000,8.205,2.171193E-09,0
100:,0.000,7.943,0,0
120:,0.000,7.943,0,0
140:,0.000,7.942,0.14925,0
160:,0.000,5.485,3.441105,0.01773667
180:,100.000,0.166,5.621351,0.03052315
200:,100.000,0.073,8.124549,0.03375211
0:,20.000,9.315,8.124549,0.03375211
20:,100.000,0.033,8.164134,0.02192575
40:,100.000,0.015,7.417918,0.01613175
60:,5.000,0.027,6.607619,0.0133848
80:,55.000,0.033,4.895868,0.009649982
100:,65.000,0.036,5.966755,0.01154453
120:,0.000,0.032,8.630172,0.01777101
140:,0.000,0.043,8.780679,0.01847077
160:,25.000,0.066,9.404781,0.01917896
180:,100.000,0.080,8.71355,0.01633606
200:,70.000,0.087,8.429965,0.0146477
0:,52.000,0.045,8.429965,0.0146477
20:,0.000,0.084,9.368145,0.01596269
40:,15.000,0.072,6.528296,0.01169881
60:,0.000,0.048,8.149222,0.01508115
80:,0.000,0.035,9.027309,0.01926018
100:,25.000,0.026,8.773138,0.02044988
120:,45.000,0.012,9.699514,0.02397502
140:,0.000,0.009,9.70328,0.02215852
160:,0.000,0.027,9.789065,0.0190925
180:,30.000,0.046,9.414033,0.01548687
200:,0.000,0.085,8.194034,0.01219863
0:,11.500,0.045,8.194034,0.01219863
20:,0.000,0.110,5.985584,0.008559321
40:,0.000,0.114,6.264018,0.008248243
60:,0.000,0.095,7.354988,0.009556209
80:,55.000,0.061,9.407541,0.01532717
100:,60.000,0.022,9.609325,0.02398188
120:,5.000,0.021,9.045361,0.02835551
140:,0.000,0.022,8.406963,0.02697896
160:,0.000,0.026,7.754538,0.01972604
180:,80.000,0.029,5.209922,0.009014308
200:,100.000,0.031,2.453235,0.003486414
0:,30.000,0.053,2.453235,0.003486414
20:,100.000,0.043,3.438935E-09,4.187226E-05
-----New Entry: 11/12/2020 7:17:27 PM-----

******************* Parameters *******************
predictVelocity: False
noiseDampening: False
MaxNoise: 0
chanceToLoseFrame: 0
velocityMaxDegreeChange: 1E-07




Test 1: Random flying no velocity

Entry,Acc,AvgDistance,Speed3D,Speed2D

20:,0.000,10.228,0,0
40:,0.000,9.841,2.686767,0
60:,0.000,8.108,5.226018,0
80:,0.000,7.000,3.169763,0
100:,0.000,7.753,1.710264,0
120:,0.000,8.650,1.547123,0
140:,0.000,9.298,3.873508E-11,0
160:,0.000,9.333,0,0
180:,0.000,9.297,1.173313,0
200:,0.000,8.176,4.002795,0
0:,0.000,8.768,4.002795,0
20:,15.000,3.321,6.423416,0.04177011
40:,0.000,0.827,8.348325,0.03155331
60:,15.000,0.799,9.599472,0.01571065
80:,10.000,0.769,8.668971,0.01055153
100:,0.000,0.699,5.770113,0.007444735
120:,40.000,0.529,3.385415,0.004574735
140:,50.000,0.428,2.421125,0.003820038
160:,80.000,0.458,4.645896,0.006817907
180:,0.000,0.807,6.732832,0.01095243
200:,0.000,1.017,8.073435,0.01380293
0:,21.000,0.965,8.073435,0.01380293
20:,0.000,1.069,9.002773,0.01703522
40:,0.000,1.046,8.561534,0.0183512
60:,0.000,1.158,9.078341,0.02333717
80:,0.000,1.252,9.728408,0.02638885
100:,0.000,1.260,8.336219,0.0212997
120:,0.000,0.994,6.425682,0.01488598
140:,5.000,0.784,5.929632,0.01293644
160:,95.000,0.738,6.81607,0.01488265
180:,0.000,0.864,6.919821,0.01623332
200:,0.000,1.160,8.169499,0.02281911
0:,10.000,1.033,8.169499,0.02281911
20:,0.000,1.353,9.886232,0.03257375
40:,0.000,1.322,10.69448,0.03617167
60:,30.000,0.906,3.524759,0.0102812
80:,100.000,0.585,6.03911,0.01702751
100:,10.000,0.840,6.894057,0.02039262
120:,0.000,0.955,7.352957,0.0218316
140:,0.000,1.084,7.61351,0.02273176
160:,0.000,1.244,8.592607,0.02460548
180:,0.000,1.261,8.648418,0.02211917
200:,0.000,0.967,6.044971,0.01413657
0:,14.000,1.052,6.044971,0.01413657
20:,25.000,0.712,4.83677,0.01061494
40:,100.000,0.679,6.643833,0.01445754
60:,20.000,0.850,8.356905,0.02032894
80:,0.000,1.104,8.450188,0.02343005
100:,0.000,1.472,8.596785,0.0291262
120:,0.000,1.966,10.25717,0.03544497
140:,0.000,1.756,10.56846,0.02633702
160:,0.000,1.135,9.16168,0.0165138
180:,0.000,0.799,8.287753,0.01017987
