Time Created: 11/10/2020 7:29:10 PM
-----New Entry: 11/10/2020 7:29:10 PM-----

******************* Parameters *******************
predictVelocity: True
noiseDampening: False
MaxNoise: 0
chanceToLoseFrame: 0
velocityMaxDegreeChange: 0.01


targetPositionX,targetPositionY,AngleX,AngleY

0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.000, 0.000,0.000,0.000
0.485, -0.118,29.097,-7.070
0.265, 0.108,15.894,6.458
0.156, -0.048,9.338,-2.907
0.025, 0.002,1.511,0.113
-0.075, 0.000,-4.498,-0.005
-0.115, 0.004,-6.873,0.221
-0.104, 0.002,-6.231,0.126
-0.067, 0.001,-4.009,0.059
-0.027, 0.001,-1.601,0.059
0.001, 0.001,0.033,0.079
0.010, 0.001,0.591,0.081
0.005, 0.001,0.298,0.069
-0.007, 0.001,-0.394,0.060
-0.018, 0.001,-1.060,0.058
-0.024, 0.001,-1.444,0.056
-0.025, 0.001,-1.493,0.053
-0.022, 0.001,-1.298,0.050
-0.017, 0.001,-1.008,0.047
-0.012, 0.001,-0.749,0.044
-0.010, 0.001,-0.591,0.042
-0.009, 0.001,-0.538,0.040
-0.009, 0.001,-0.556,0.038
-0.010, 0.001,-0.597,0.036
-0.010, 0.001,-0.623,0.034
-0.010, 0.001,-0.614,0.032
-0.010, 0.001,-0.574,0.031
-0.009, 0.000,-0.513,0.029
-0.007, 0.000,-0.448,0.028
-0.007, 0.000,-0.391,0.027
-0.006, 0.000,-0.345,0.026
-0.005, 0.000,-0.311,0.025
-0.005, 0.000,-0.283,0.024
-0.004, 0.000,-0.257,0.024
-0.004, 0.000,-0.230,0.023
-0.003, 0.000,-0.199,0.023
-0.003, 0.000,-0.167,0.022
-0.002, 0.000,-0.135,0.022
-0.002, 0.000,-0.104,0.022
-0.001, 0.000,-0.076,0.022
-0.001, 0.000,-0.051,0.022
0.000, 0.000,-0.028,0.022
0.000, 0.000,-0.009,0.022
0.000, 0.000,0.009,0.022
0.000, 0.000,0.025,0.022
0.001, 0.000,0.039,0.022
0.001, 0.000,0.051,0.023
0.001, 0.000,0.060,0.023
0.001, 0.000,0.068,0.023
0.001, 0.000,0.073,0.023
0.001, 0.000,0.075,0.023
0.001, 0.000,0.075,0.024
0.001, 0.000,0.073,0.024
0.001, 0.000,0.070,0.024
0.001, 0.000,0.064,0.024
0.001, 0.000,0.057,0.024
0.001, 0.000,0.048,0.024
0.001, 0.000,0.037,0.024
0.000, 0.000,0.026,0.024
0.000, 0.000,0.013,0.023
0.000, 0.000,0.000,0.023
0.000, 0.000,-0.015,0.023
0.000, 0.000,-0.030,0.023
-0.001, 0.000,-0.045,0.022
-0.001, 0.000,-0.060,0.022
-0.001, 0.000,-0.076,0.022
-0.002, 0.000,-0.092,0.021
-0.002, 0.000,-0.107,0.021
-0.002, 0.000,-0.122,0.020
-0.002, 0.000,-0.137,0.020
-0.003, 0.000,-0.151,0.019
-0.003, 0.000,-0.165,0.018
-0.003, 0.000,-0.178,0.018
-0.003, 0.000,-0.190,0.017
-0.003, 0.000,-0.201,0.017
-0.004, 0.000,-0.212,0.016
-0.004, 0.000,-0.221,0.016
-0.004, 0.000,-0.230,0.015
-0.004, 0.000,-0.237,0.014
-0.004, 0.000,-0.244,0.014
-0.004, 0.000,-0.250,0.013
-0.004, 0.000,-0.256,0.013
-0.004, 0.000,-0.262,0.012
-0.004, 0.000,-0.269,0.012
-0.005, 0.000,-0.276,0.011
-0.005, 0.000,-0.283,0.011
-0.005, 0.000,-0.290,0.010
-0.005, 0.000,-0.297,0.010
-0.005, 0.000,-0.304,0.010
-0.005, 0.000,-0.310,0.009
-0.005, 0.000,-0.316,0.009
-0.005, 0.000,-0.323,0.009
-0.005, 0.000,-0.329,0.008
-0.006, 0.000,-0.335,0.008
-0.006, 0.000,-0.342,0.008
-0.006, 0.000,-0.348,0.008
