Time Created: 11/12/2020 6:19:48 PM
-----New Entry: 11/12/2020 6:19:48 PM-----

******************* Parameters *******************
predictVelocity: False
noiseDampening: False
MaxNoise: 0
chanceToLoseFrame: 0
velocityMaxDegreeChange: 0.01




Test 1: corners no velocity

Entry,Acc,AvgDistance,Speed3D,Speed2D

20:,0.000,10.228,0,0
40:,0.000,10.228,0,0
60:,0.000,10.246,1.889002,0
80:,0.000,10.617,4.568907,0
100:,0.000,12.361,5.847291,0
120:,0.000,16.362,7.545314,0
140:,0.000,22.562,7.532333,0
160:,0.000,29.251,0.06662893,0
180:,0.000,31.182,0.05514766,0
200:,0.000,31.088,1.983425,0
0:,0.000,18.413,1.983425,0
20:,0.000,30.320,4.634058,0
40:,0.000,29.312,7.027642,0
60:,0.000,29.103,7.621026,0
80:,0.000,29.186,7.613798,0
100:,0.000,20.863,7.746512,0.008858387
120:,5.000,0.693,0.08694522,0.003858237
140:,0.000,0.200,0.04764782,2.51296E-05
160:,0.000,0.192,0.04310273,2.264955E-05
180:,0.000,0.201,1.780307,0.001053817
200:,0.000,0.340,4.457816,0.003495662
0:,0.500,14.041,4.457816,0.003495662
20:,0.000,0.595,6.877691,0.006828562
40:,0.000,0.876,7.621531,0.01014071
60:,0.000,0.990,7.613142,0.01210451
80:,0.000,1.053,7.602669,0.0128646
100:,0.000,1.057,7.725398,0.0119703
120:,0.000,1.001,8.082983,0.009905993
140:,0.000,0.888,7.709723,0.007110058
160:,0.000,0.459,0.0006768843,0.0001376346
180:,0.000,0.186,0,0
200:,0.000,0.186,0,0
0:,0.000,0.729,0,0
20:,0.000,0.200,1.883096,0.001284349
40:,0.000,0.359,4.520833,0.003666206
60:,0.000,0.602,6.931874,0.00706601
80:,0.000,0.885,7.670194,0.01047628
100:,0.000,1.009,7.646509,0.01256146
120:,0.000,1.077,7.754328,0.01307363
140:,0.000,1.054,7.71832,0.01147722
160:,0.000,0.961,7.688129,0.009026857
180:,0.000,0.845,7.662053,0.006796446
200:,0.000,0.387,0.2382791,0.0002206024
0:,0.000,0.738,0.2382791,0.0002206024
20:,0.000,0.188,0.2155498,0.0002185653
40:,0.000,0.189,0.1949886,0.0001966852
60:,0.000,0.222,2.397538,0.001845399
80:,0.000,0.406,4.871878,0.004323176
100:,0.000,0.581,6.105212,0.006253812
120:,0.000,0.852,7.760098,0.01028901
140:,0.000,0.999,7.59749,0.01207779
160:,0.000,1.058,7.583491,0.01276249
180:,0.000,1.058,7.705434,0.01173087
200:,0.000,1.014,8.030277,0.009741555
0:,0.000,0.657,8.030277,0.009741555
20:,0.000,0.870,7.553166,0.006974237
40:,0.000,0.425,6.958157E-07,3.85344E-05
60:,0.000,0.185,0,0
-----New Entry: 11/12/2020 6:20:58 PM-----

******************* Parameters *******************
predictVelocity: True
noiseDampening: False
MaxNoise: 0
chanceToLoseFrame: 0
velocityMaxDegreeChange: 0.01




Test 1: corners with velocity

Entry,Acc,AvgDistance,Speed3D,Speed2D

20:,0.000,10.228,0,0
40:,0.000,10.228,0,0
60:,0.000,10.228,0.8843806,0
80:,0.000,10.318,3.646357,0
100:,0.000,11.487,6.199523,0
120:,0.000,15.233,6.971318,0
140:,0.000,20.958,7.702203,0
160:,0.000,27.805,7.675579,0
180:,0.000,31.546,0.007670523,0
200:,0.000,31.403,2.306907,0
0:,0.000,17.943,2.306907,0
20:,0.000,30.434,4.918911,0
40:,0.000,29.274,7.290904,0
60:,0.000,28.937,7.575925,0
80:,0.000,28.930,7.566178,0
100:,0.000,23.439,7.55738,0.1792268
120:,0.000,1.658,0.08862635,0.006851967
140:,0.000,0.217,0.04759962,0.0001089969
160:,0.000,0.190,0.04305912,3.53733E-05
180:,0.000,0.188,2.477163,0.001836283
200:,0.000,0.172,5.082979,0.004655212
0:,0.000,14.344,5.082979,0.004655212
20:,0.000,0.143,7.432458,0.008636175
40:,0.000,0.111,7.5742,0.01097502
60:,0.000,0.089,7.565191,0.01235429
80:,0.000,0.084,7.557064,0.01221672
100:,0.000,0.095,7.54973,0.01065553
120:,0.000,0.121,7.538856,0.008569246
140:,0.000,0.159,7.529155,0.006604967
160:,0.000,0.216,0.02048905,0.0002286745
180:,0.000,0.189,0,4.559853E-06
200:,0.000,0.189,1.173313,0.0007469308
0:,0.000,0.140,1.173313,0.0007469308
20:,0.000,0.180,3.89839,0.003112577
40:,0.000,0.156,6.329743,0.006706507
60:,0.000,0.125,7.544981,0.01015782
80:,0.000,0.099,7.674751,0.01200485
100:,0.000,0.087,7.502991,0.01236042
120:,0.000,0.091,7.492054,0.01138941
140:,0.000,0.111,7.482471,0.009502359
160:,0.000,0.143,7.474056,0.00752271
180:,0.000,0.207,0.2145661,0.001306474
200:,0.000,0.190,0.1940988,0.0001358031
0:,0.000,0.139,0.1940988,0.0001358031
20:,0.000,0.187,0.1755838,0.0001392312
40:,0.000,0.184,2.578817,0.00169891
60:,0.000,0.167,5.108457,0.004874872
80:,0.000,0.139,7.445217,0.009112257
100:,0.000,0.110,7.728412,0.01119819
120:,0.000,0.093,7.920585,0.01286295
140:,0.000,0.089,7.600602,0.01183663
160:,0.000,0.103,7.592277,0.01024533
180:,0.000,0.130,7.584929,0.008205443
200:,0.000,0.168,7.429145,0.006360218
0:,0.000,0.137,7.429145,0.006360218
20:,0.000,0.219,2.137339E-19,1.835833E-05
40:,0.000,0.191,0,3.588675E-07
-----New Entry: 11/12/2020 6:22:11 PM-----

******************* Parameters *******************
predictVelocity: True
noiseDampening: False
MaxNoise: 0.01
chanceToLoseFrame: 0
velocityMaxDegreeChange: 0.01




Test 1: corners with velocity and noice

Entry,Acc,AvgDistance,Speed3D,Speed2D

20:,0.000,10.228,0,0
40:,0.000,10.130,1.741656,0
60:,0.000,8.832,4.422797,0
80:,0.000,6.955,6.854119,0
100:,0.000,8.772,7.617033,0
120:,0.000,13.520,7.583252,0
140:,0.000,18.333,7.577096,0
160:,0.000,5.747,7.688826,0.006332755
180:,5.000,0.623,7.486858,0.01033853
200:,0.000,0.764,0.0002076806,0.007528925
0:,0.500,8.390,0.0002076806,0.007528925
20:,5.000,0.737,9.536743E-07,0.01101256
40:,5.000,0.735,2.17396E-32,0.006517947
60:,0.000,0.986,0,0.01108455
80:,0.000,0.892,0,0.02028159
100:,10.000,0.781,0,0.003217987
120:,0.000,1.047,0,0.01658797
140:,5.000,0.942,0,0.01661633
160:,0.000,0.985,0,0.008189546
180:,0.000,0.879,0,0.007410688
200:,10.000,0.285,0,3.617723E-06
0:,3.500,0.827,0,3.617723E-06
20:,25.000,0.194,0,0.0009020697
40:,20.000,0.212,0,0.000443426
60:,25.000,0.204,0,0.0004756236
80:,40.000,0.192,0,0.0007318835
100:,30.000,0.203,0,0.001302103
120:,35.000,0.199,0,0.0004564796
140:,40.000,0.198,2.575313,0.002028063
160:,30.000,0.183,5.177032,0.006310398
180:,35.000,0.148,7.530573,0.009752203
200:,10.000,0.122,7.522287,0.01148699
0:,29.000,0.186,7.522287,0.01148699
20:,20.000,0.100,7.514792,0.01236385
40:,25.000,0.086,7.508011,0.0122266
60:,5.000,0.114,7.501325,0.01172571
80:,10.000,0.132,7.759754,0.008752267
100:,15.000,0.183,7.598042,0.007039152
120:,15.000,0.249,0.6715446,0.0005698648
140:,30.000,0.207,4.186643E-12,0.001241929
160:,30.000,0.206,0,0.001712892
180:,40.000,0.195,1.459363,0.00131243
200:,45.000,0.187,4.167531,0.002451444
0:,23.500,0.166,4.167531,0.002451444
20:,25.000,0.178,6.617373,0.005592518
40:,20.000,0.137,7.523358,0.009279815
60:,35.000,0.103,7.509592,0.01100014
80:,15.000,0.096,7.634408,0.01354732
100:,35.000,0.100,7.619987,0.01226438
120:,20.000,0.118,7.606479,0.009886052
140:,0.000,0.144,7.592337,0.007914423
160:,5.000,0.226,7.49406E-08,0.003373407
180:,30.000,0.195,0.009185344,0.0001524575
200:,40.000,0.197,0,0.001114157
0:,22.500,0.149,0,0.001114157
20:,45.000,0.194,1.316696,0.00182645
40:,30.000,0.192,4.034926,0.00250541
60:,20.000,0.171,6.482475,0.006063684
80:,20.000,0.141,7.539909,0.009594879
100:,30.000,0.107,7.529301,0.01074969
120:,30.000,0.095,7.519963,0.01145397
140:,25.000,0.092,7.511727,0.01082063
160:,25.000,0.116,7.502988,0.008845638
180:,0.000,0.153,7.488788,0.008830231
200:,15.000,0.200,4.007954E-06,0.001199323
0:,24.000,0.146,4.007954E-06,0.001199323
20:,25.000,0.200,0.01519854,0.001101325
40:,40.000,0.203,0.01374876,0.0007748226
60:,45.000,0.195,0,0.001236277
80:,25.000,0.195,0,0.0003679079
-----New Entry: 11/12/2020 6:23:46 PM-----

******************* Parameters *******************
predictVelocity: True
noiseDampening: True
MaxNoise: 0.01
chanceToLoseFrame: 0
velocityMaxDegreeChange: 0.01




Test 1: corners with velocity and noice and noice dampening

Entry,Acc,AvgDistance,Speed3D,Speed2D

20:,0.000,10.228,0,0
40:,0.000,10.092,1.881802,0
60:,0.000,8.619,4.547311,0
80:,0.000,6.668,6.968102,0
100:,0.000,8.808,7.379394,0
120:,0.000,13.666,7.516262,0
140:,0.000,18.104,7.768064,0.5024025
160:,5.000,4.118,8.099762,0.01051408
180:,15.000,0.668,7.862857,0.01734935
200:,15.000,0.645,1.507142E-14,0.002465216
0:,3.500,8.162,1.507142E-14,0.002465216
20:,0.000,0.802,0,0.004542633
40:,0.000,0.732,0,0.00702551
60:,5.000,0.917,0,0.0165724
80:,5.000,0.529,0,0.0005471939
100:,35.000,0.206,0,0.001547418
120:,40.000,0.198,0,0.001150235
140:,20.000,0.216,0,0.0005929866
160:,35.000,0.208,0.1489057,0.00148401
180:,35.000,0.198,2.959202,0.003185952
200:,35.000,0.185,5.449437,0.003665659
0:,21.000,0.419,5.449437,0.003665659
20:,35.000,0.153,7.723036,0.00906202
40:,20.000,0.114,7.691101,0.0111133
60:,25.000,0.095,7.654541,0.01243852
80:,20.000,0.089,7.980638,0.01420697
100:,10.000,0.112,7.891454,0.01247783
120:,0.000,0.137,7.555452,0.006041263
140:,5.000,0.189,0.2584023,0.006246853
160:,40.000,0.207,0.0008551558,0.000457957
180:,40.000,0.194,2.539364E-15,0.001193841
200:,35.000,0.199,0,0.001317134
0:,23.000,0.149,0,0.001317134
20:,50.000,0.187,2.573307,0.001712145
40:,35.000,0.165,5.162668,0.003973081
60:,30.000,0.138,7.493203,0.009689871
80:,25.000,0.112,7.480066,0.01237129
100:,20.000,0.090,7.620275,0.01238541
120:,15.000,0.109,7.60981,0.01248562
140:,20.000,0.098,7.59883,0.01096161
160:,10.000,0.124,7.587119,0.008304919
180:,0.000,0.167,7.307628,0.006826321
200:,25.000,0.240,0.01913702,0.001443332
0:,23.000,0.143,0.01913702,0.001443332
20:,20.000,0.218,0.01731155,0.000803408
40:,35.000,0.206,1.883097,0.002459883
60:,35.000,0.190,4.549787,0.004246111
80:,40.000,0.150,6.947972,0.007875226
100:,20.000,0.118,7.536773,0.01022082
120:,15.000,0.112,7.521199,0.01159874
140:,35.000,0.089,7.507673,0.01277736
160:,20.000,0.099,7.495901,0.009324081
180:,15.000,0.133,7.485631,0.008843399
200:,0.000,0.160,7.477948,0.006966332
0:,23.500,0.147,7.477948,0.006966332
20:,10.000,0.222,0.0002403261,0.001431472
40:,30.000,0.215,7.103883E-11,0.001067011
60:,25.000,0.223,0,0.001865416
-----New Entry: 11/12/2020 6:25:16 PM-----

******************* Parameters *******************
predictVelocity: True
noiseDampening: True
MaxNoise: 0.001
chanceToLoseFrame: 0
velocityMaxDegreeChange: 0.01




Test x: Trying to find right values for dampening

Entry,Acc,AvgDistance,Speed3D,Speed2D

20:,0.000,10.228,0,0
40:,0.000,9.854,2.575312,0
60:,0.000,7.605,5.110829,0
80:,0.000,5.429,7.416202,0
100:,0.000,7.697,8.057385,0
120:,25.000,1.997,6.833751,0.006252957
140:,100.000,0.069,5.624875,0.007885
160:,100.000,0.063,1.671441,0.000519784
180:,100.000,0.058,1.185526,0.001366364
200:,100.000,0.059,1.072439,0.002141874
0:,42.500,4.306,1.072439,0.002141874
20:,100.000,0.077,0,0.0004953832
40:,100.000,0.085,0,0.001424219
60:,100.000,0.081,0,0.0009278923
80:,100.000,0.094,0,0.000449258
100:,100.000,0.081,0,0.0007585677
120:,100.000,0.086,0,0.001297931
140:,100.000,0.082,0,0.001275276
160:,100.000,0.074,0,0.001298271
180:,100.000,0.086,0.2977538,0.001320713
200:,100.000,0.077,3.096089,0.003767311
0:,100.000,0.082,3.096089,0.003767311
20:,100.000,0.051,5.58828,0.00765211
40:,100.000,0.048,7.587897,0.01766745
60:,90.000,0.030,7.960363,0.02428757
80:,80.000,0.033,8.475458,0.02346519
100:,80.000,0.028,9.192762,0.01926007
120:,40.000,0.048,9.144521,0.01454375
140:,15.000,0.098,8.048899,0.01153932
160:,10.000,0.103,6.9497,0.01054017
180:,0.000,0.138,5.701757,0.006871986
200:,5.000,0.123,7.536539,0.01056744
0:,52.000,0.070,7.536539,0.01056744
20:,15.000,0.085,8.713647,0.01488917
40:,35.000,0.080,9.053289,0.01923912
60:,75.000,0.069,4.77285,0.01014064
80:,100.000,0.057,0.9007176,0.002350239
100:,100.000,0.053,0.6519687,0.0001682158
120:,100.000,0.045,0.5897777,0.0005798062
140:,100.000,0.052,0.5335191,0.0007941042
160:,100.000,0.065,0.4826271,0.002803481
180:,100.000,0.055,3.195428,0.006489243
200:,100.000,0.055,5.279404,0.01186663
0:,82.500,0.062,5.279404,0.01186663
20:,75.000,0.065,7.418787,0.01458996
40:,60.000,0.048,8.512505,0.01809882
60:,40.000,0.048,8.03931,0.01570306
80:,45.000,0.065,7.673063,0.01392637
100:,25.000,0.072,8.621468,0.01753768
120:,0.000,0.061,9.68876,0.01763087
140:,5.000,0.092,10.78139,0.01682884
160:,10.000,0.108,11.25938,0.01633564
180:,0.000,0.188,6.821018,0.009297299
200:,5.000,0.161,3.449311,0.004104958
0:,26.500,0.091,3.449311,0.004104958
20:,35.000,0.155,4.697886,0.004044937
40:,50.000,0.131,6.740292,0.008036662
60:,80.000,0.075,8.461961,0.0102948
80:,100.000,0.034,8.581807,0.01650844
100:,65.000,0.044,8.270009,0.02805954
120:,50.000,0.047,8.387254,0.02787445
140:,80.000,0.053,6.643893,0.01517545
160:,100.000,0.044,2.593282,0.003353494
180:,100.000,0.051,1.020128,0.001636686
200:,100.000,0.049,0.922819,0.001010656
0:,76.000,0.068,0.922819,0.001010656
20:,100.000,0.037,0.8347917,0.0009383259
40:,100.000,0.050,0.7551615,0.001665527
60:,100.000,0.055,0.6831272,0.0002420377
80:,100.000,0.065,0.6179641,0.001932946
100:,100.000,0.066,0.8310382,0.002229829
120:,100.000,0.070,3.294996,0.005330677
140:,95.000,0.074,5.595389,0.01027841
160:,80.000,0.050,7.741616,0.01543841
180:,60.000,0.045,8.841228,0.01750992
200:,35.000,0.052,9.281156,0.01799198
0:,87.000,0.056,9.281156,0.01799198
20:,15.000,0.083,8.319401,0.01355833
40:,20.000,0.094,7.517146,0.01369193
60:,5.000,0.106,7.846331,0.01284423
80:,10.000,0.105,8.32767,0.01190761
100:,5.000,0.128,8.966123,0.01449062
120:,15.000,0.089,8.466061,0.01367853
140:,15.000,0.117,6.07845,0.007663789
160:,50.000,0.114,2.081776,0.003271856
180:,80.000,0.124,1.704639E-05,0.00100793
200:,85.000,0.124,0,0.0007952297
0:,30.000,0.108,0,0.0007952297
20:,80.000,0.122,0,0.0005875184
40:,95.000,0.127,0,0.001973953
60:,80.000,0.135,0,0.001407915
80:,90.000,0.116,0,0.0005862116
100:,85.000,0.128,0,0.001104441
120:,75.000,0.127,2.211574,0.001719952
140:,70.000,0.124,4.610668,0.005884289
160:,40.000,0.103,6.978722,0.009115199
180:,10.000,0.070,8.632471,0.01564123
200:,0.000,0.067,8.835376,0.01804977
0:,62.500,0.112,8.835376,0.01804977
20:,0.000,0.048,7.930368,0.01846801
40:,80.000,0.053,8.031212,0.01755176
60:,90.000,0.036,8.994088,0.02155697
80:,45.000,0.043,9.516132,0.01920589
100:,65.000,0.080,9.751472,0.01689667
120:,40.000,0.109,10.90164,0.01141335
140:,20.000,0.146,8.10463,0.008828839
160:,15.000,0.214,2.829812,0.003844237
180:,55.000,0.139,2.559879,0.00296979
200:,75.000,0.130,2.315694,0.002977363
0:,48.500,0.100,2.315694,0.002977363
20:,70.000,0.142,2.094801,0.003094219
40:,80.000,0.119,1.894979,0.003115035
60:,90.000,0.100,1.714218,0.00269977
80:,95.000,0.109,2.273687,0.003547958
100:,90.000,0.090,4.877133,0.008003819
120:,75.000,0.091,7.145068,0.01182964
140:,35.000,0.093,8.799917,0.0152968
160:,15.000,0.078,9.251495,0.01615349
180:,20.000,0.089,8.533341,0.01317728
200:,0.000,0.089,8.496316,0.01331756
0:,57.000,0.100,8.496316,0.01331756
20:,5.000,0.090,8.983361,0.01572642
40:,15.000,0.097,7.379654,0.01079013
60:,50.000,0.155,5.046582,0.008887045
80:,30.000,0.145,3.503936,0.005781
100:,55.000,0.150,1.16082,0.001522638
120:,60.000,0.157,1.05009,0.0003197621
140:,45.000,0.162,0.9499221,0.001085405
160:,60.000,0.166,0.8593096,0.003601308
180:,55.000,0.161,0.7773405,0.0002579119
200:,35.000,0.177,2.155378,0.002282361
0:,41.000,0.146,2.155378,0.002282361
20:,55.000,0.161,4.456059,0.004122372
40:,25.000,0.153,6.79603,0.007689064
60:,35.000,0.111,7.670523,0.01264304
80:,45.000,0.085,7.648972,0.01443025
100:,50.000,0.066,7.055881,0.01487685
120:,55.000,0.062,6.382823,0.0106445
140:,55.000,0.080,5.773969,0.008729436
160:,55.000,0.102,5.223194,0.007021228
180:,50.000,0.124,4.724957,0.004331232
200:,25.000,0.181,0.3843039,0.0006097079
0:,45.000,0.112,0.3843039,0.0006097079
20:,60.000,0.168,0.3476454,0.0005113704
40:,60.000,0.155,0.3144837,0.001055321
60:,55.000,0.167,0.4240825,0.0001608253
80:,40.000,0.171,3.207633,0.004370517
100:,55.000,0.131,5.694702,0.004896845
120:,40.000,0.105,7.394771,0.009995633
140:,75.000,0.079,6.689388,0.01193973
160:,80.000,0.046,6.051291,0.01149629
180:,70.000,0.061,5.474062,0.01155577
200:,85.000,0.053,4.951894,0.009142822
0:,62.000,0.114,4.951894,0.009142822
20:,75.000,0.075,4.479536,0.006233159
40:,80.000,0.090,4.052236,0.005536109
60:,80.000,0.115,3.665695,0.004151108
80:,70.000,0.130,2.858893,0.004078562
100:,65.000,0.127,5.294688,0.006167188
120:,80.000,0.092,7.587336,0.01072071
140:,85.000,0.062,7.56585,0.01572261
160:,100.000,0.037,7.544878,0.0176649
180:,85.000,0.040,7.526935,0.01679094
200:,65.000,0.042,7.51155,0.01257599
0:,78.500,0.081,7.51155,0.01257599
20:,50.000,0.067,7.067842,0.008942371
40:,65.000,0.119,3.13184,0.006100028
60:,85.000,0.091,2.833096,0.004484265
80:,90.000,0.084,2.562848,0.003536714
100:,80.000,0.101,2.318379,0.00343814
-----New Entry: 11/12/2020 6:29:13 PM-----

******************* Parameters *******************
predictVelocity: True
noiseDampening: True
MaxNoise: 0.001
chanceToLoseFrame: 0
velocityMaxDegreeChange: 1E-07




Test 2: corners with velocity noice and damp

Entry,Acc,AvgDistance,Speed3D,Speed2D

20:,0.000,10.228,0,0
40:,0.000,10.220,1.458873,0
60:,0.000,10.257,4.155285,0
80:,0.000,11.714,6.627099,0
100:,0.000,16.030,7.754704,0
120:,0.000,22.420,8.578365,0
140:,0.000,28.734,4.81886,0
160:,0.000,29.285,7.079661,0
180:,0.000,28.591,7.9916,0
200:,0.000,28.483,7.499961,0
0:,0.000,19.596,7.499961,0
20:,0.000,18.321,7.63698,0.05083745
40:,15.000,0.805,0.5275005,0.002663331
60:,40.000,0.200,1.283258,0.0001403854
80:,35.000,0.205,1.611523E-10,0.001885679
100:,45.000,0.187,2.300507,0.002077365
120:,35.000,0.178,4.92844,0.005387233
140:,35.000,0.148,7.305696,0.009147733
160:,25.000,0.116,7.598082,0.01160085
180:,20.000,0.088,7.578463,0.01258091
200:,35.000,0.084,7.553395,0.01317966
0:,28.500,2.033,7.553395,0.01317966
20:,15.000,0.106,7.532257,0.01118352
40:,10.000,0.135,7.659722,0.007662049
60:,15.000,0.186,0.1867503,0.00689754
80:,25.000,0.230,0.002613396,0.0009570517
100:,35.000,0.202,1.46067,0.001641576
120:,30.000,0.186,4.168715,0.00386695
140:,30.000,0.179,6.618441,0.007187471
160:,20.000,0.138,7.526471,0.008558905
180:,35.000,0.102,7.518577,0.01178434
200:,15.000,0.100,7.511436,0.01307716
0:,23.000,0.156,7.511436,0.01307716
20:,15.000,0.087,7.778185,0.01186916
40:,10.000,0.128,8.128672,0.01084559
60:,0.000,0.149,7.613762,0.006573623
80:,20.000,0.204,2.727478E-06,0.0005499807
100:,35.000,0.192,1.450258E-06,0.001099049
120:,40.000,0.200,1.865859,0.002091986
140:,45.000,0.179,4.496001,0.004269264
160:,40.000,0.155,6.880572,0.006996803
180:,20.000,0.117,7.627787,0.0102451
200:,25.000,0.098,7.612543,0.01259651
0:,25.000,0.151,7.612543,0.01259651
20:,15.000,0.087,7.594913,0.01374566
40:,20.000,0.089,7.566828,0.01208794
60:,10.000,0.123,7.543213,0.00802848
80:,5.000,0.165,7.668465,0.007267831
100:,5.000,0.220,1.954878E-08,0.0004830941
120:,25.000,0.205,0,0.0001740223
